Plaza,Tienda,Zona,lat,lon,background_avg,best_effort_avg,video_avg,voice_avg
10TMP,50NTK,NORESTE,22.7468979,-98.9927364,0,53.33,0,0
10UMR,50JZU,Matamoros,23.7401692,-99.1447288,0,48,0,0
10TMP,50CGZ,NORESTE,22.8284035,-98.4264513,0,89.6,0,0
10QRO,50DBS,NORESTE,20.5505111,-100.4398083,0,96,0,0
10PGS,50CQS,NORESTE,28.6840584,-100.5531212,0,51.2,0,0
10TMP,5012J,NORESTE,22.9979684,-98.93836610000001,0,7.2,0,0
10TMP,502AO,NORESTE,21.7684699,-98.44999349999999,0,96,3,0
10QRO,50LKP,NORESTE,20.6800126,-100.3112013,null,null,null,null
10PGS,50CEW,NORESTE,29.31326779999999,-100.987578,0,56,0,0
10TMP,50FIJ,NORESTE,22.2450978,-97.83592499999999,0,53.33,0,0
10NLA,50REN,Laredo,27.5075179,-99.55853289999999,null,null,null,null
10UMR,50UBJ,Matamoros,25.8290733,-97.4876779,0,42.67,0,0
10UMR,50U7A,Matamoros,23.7078073,-99.1612588,0,28,0,0
10TMP,504EC,NORESTE,22.2947752,-97.84546259999999,0,53.33,0,0
10UMR,5003W,Matamoros,25.8494019,-97.5007865,0,40,0,0
10QRO,50OSA,NORESTE,20.6357467,-100.4483292,0,80,0,0
10TMP,50ZDA,NORESTE,22.2863564,-97.8772857,0,89.6,0,0
10QRO,50DML,NORESTE,20.5223085,-100.8142418,0,53.33,0,0
10TMP,50SNN,NORESTE,22.2367373,-97.8300084,0,85.33,0,0
10UMR,50UOG,Matamoros,25.8607978,-97.4865679,0,80,0,0
10UMR,50UDG,Matamoros,23.76068,-99.12993999999999,0,85.33,0,0
10UMR,50GZK,Matamoros,23.785523,-99.1539178,0,85.33,0,0
10TMP,50N4D,NORESTE,22.2133175,-97.85843799999999,0,24,0,0
10UMR,50NRW,Matamoros,24.7284579,-98.1775638,null,null,null,null
10QRO,507MO,NORESTE,20.5289354,-100.7764719,0,48,0,0
10QRO,50FQN,NORESTE,20.570067,-100.2821196,0,89.6,0,0
10QRO,50CFN,NORESTE,20.5598753,-100.4135433,0,3.75,0,0
10UMR,50TMK,Matamoros,23.7731521,-99.15299999999999,0,80,0,3
10TMP,50OR5,NORESTE,22.7487089,-98.961719,0,85.33,0,0
10QRO,50RDP,NORESTE,21.1597682,-100.9293946,0,48,0,0
10QRO,50U2O,NORESTE,21.1558599,-100.9367032,0,80,0,0
10TMP,500BP,NORESTE,22.2175102,-98.3773003,0,28,0,0
10TMP,50GZU,NORESTE,22.2024187,-97.84247529999999,0,40,0,0
10PGS,50ACJ,NORESTE,29.3229726,-101.0040272,0,82.29,0,0
10TMP,50LFD,NORESTE,22.6842973,-98.1884949,0,6.4,0,0
10UMR,50TEH,Matamoros,25.830764,-97.45264759999999,0,80,0,0
10QRO,50D23,NORESTE,20.517191,-100.8106564,0,42.67,0,0
10UMR,50OUW,Matamoros,23.7408845,-99.1599779,0,80,0,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
10NLA,50XVD,Laredo,27.4800627,-99.5888605,0,26.67,2.62,0
10QRO,50GQW,NORESTE,20.6898988,-100.450132,0,51.2,0,0
10QRO,50L3Y,NORESTE,20.5499825,-100.4222012,0,42.67,0,0
10QRO,50QSJ,NORESTE,20.5400693,-100.8340468,0,48,2.67,0
10QRO,50YBD,NORESTE,20.6547029,-100.473998,0,42.67,0,0
10QRO,502BT,NORESTE,20.5354732,-100.4052128,0,42.67,0,0
10UMR,50OBR,Matamoros,25.8383345,-97.4779963,0,85.33,0,0
10QRO,504GY,NORESTE,37.4180951010362,-122.098531723022,0,42.67,0,0
10TMP,50ELO,NORESTE,22.2572587,-97.8569847,0,24,0,0
10QRO,50VTS,NORESTE,20.5909367,-100.3728838,0,48,0,0
10QRO,50BN8,NORESTE,20.6426888,-100.4836015,0,85.33,0,0
10PGS,50OSH,NORESTE,28.4216844,-100.7736225,0,56,0,0
10QRO,505VC,NORESTE,21.3064526,-100.5971361,0,6.46,0,0
10TMP,50AIC,NORESTE,22.3177694,-97.8513397,0,85.33,0,0
10QRO,50SXT,NORESTE,20.627349,-100.2780294,0,85.33,0,0
10QRO,50CZS,NORESTE,20.3915699,-99.9843843,0,89.6,0,0
10QRO,50AZK,NORESTE,20.5579108,-100.3835886,0,24,0,0
10PGS,50HMZ,NORESTE,29.3368202,-100.978059,0,6,0,0
10NLA,50IHV,Laredo,27.4885569,-99.5936241,3,80,1.5,0
10TMP,50OFO,NORESTE,22.2568392,-97.8682429,0,5.82,0,0
10QRO,50SEU,NORESTE,20.6538868,-100.3818889,0,76.8,0,0
10QRO,50O7M,NORESTE,20.532527,-100.4402087,0,80,0,0
10UMR,50DQE,Matamoros,25.8627961,-97.5152318,0,7.2,0,0
10NLA,50EGO,Laredo,27.4800487,-99.5117447,0,53.33,0,0
10NLA,50WYM,Laredo,27.4939143,-99.5005063,0,48,0,0
10NLA,50VKF,Laredo,27.4957477,-99.5475391,0,89.6,0,0
10QRO,50TPK,NORESTE,20.5433148,-100.8020105,0,89.6,0,0
10TMP,50BTM,NORESTE,22.2766431,-97.8776145,0,48,0,0
10TMP,50973,NORESTE,22.4089275,-97.9380693,0,6.8,0,0
